"ID","acc","accept_status","accuracy","age","average_response_time","avg_rt","background","bidi","block","buttons","canvas_backend","checkbox_status","clock_backend","color_backend","colour","compensation","congruency","coordinates","correct","correct_answer","correct_button_block","correct_new_keyboard_response","count_C","count_I","count_Instruction","count_Practice_start","count_age","count_answer","count_blank","count_blank2","count_blank3","count_blank_4","count_break","count_break2","count_button_block","count_consent_form","count_correct_feedback","count_cross","count_end","count_experiment","count_feedback","count_gender","count_incorrect_feedback","count_information_sheet","count_logger","count_new_keyboard_response","count_practice","count_stroop","count_target","datetime","description","disable_garbage_collection","expected","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","form_var","fullscreen","gender","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_answer","response_button_block","response_new_keyboard_response","response_time","response_time_answer","response_time_button_block","response_time_new_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_C","time_I","time_Instruction","time_Practice_start","time_age","time_answer","time_blank","time_blank2","time_blank3","time_blank_4","time_break","time_break2","time_button_block","time_consent_form","time_correct_feedback","time_cross","time_end","time_experiment","time_feedback","time_gender","time_incorrect_feedback","time_information_sheet","time_logger","time_new_keyboard_response","time_practice","time_stroop","time_target","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"32","100","yes","100","23","14405","14405","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","green","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","12/06/16 16:11:46","The main experiment item","yes","n","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","n","n","space","NA","1222","1222","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","109633","109059","109598","110858","111849","NA","NA","106533","44037","111094","109094","NA","2399","NA","NA","NA","2399","112299","NA","108953","109057","109633","Stroop CI","4","57622","4","yes","1366","SHIP"
"27","100","yes","100","23","11659","11659","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","1","1","1","1","1","0","0","5","0","1","1","0","0","NA","0","1","0","1","NA","0","1","1","12/06/16 16:11:46","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","676","676","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","113084","112512","113049","113763","114753","NA","NA","106533","44037","114001","112547","NA","2399","NA","NA","NA","2399","115203","NA","108953","112509","113084","Stroop CI","5","58298","5","yes","1366","FLOWER"
"2","100","yes","100","23","9805","9805","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","inc","uniform","1","1","1","NA","0","0","0","0","0","2","2","2","2","2","0","0","5","0","2","2","0","0","NA","0","2","0","2","NA","0","2","2","12/06/16 16:11:46","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","537","537","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","115957","115385","115922","116498","117490","NA","NA","106533","44037","116736","115420","NA","2399","NA","NA","NA","2399","117940","NA","108953","115382","115957","Stroop CI","6","58835","6","yes","1366","GREEN"
"28","100","yes","100","23","8495","8495","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","blue","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","3","3","3","3","3","0","0","5","0","3","3","0","0","NA","0","3","0","3","NA","0","3","3","12/06/16 16:11:46","The main experiment item","yes","b","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","b","b","space","NA","630","630","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","118663","118091","118628","119296","120285","NA","NA","106533","44037","119533","118126","NA","2399","NA","NA","NA","2399","120735","NA","108953","118088","118663","Stroop CI","7","59465","7","yes","1366","LOT"
"3","100","yes","100","23","7503","7503","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","inc","uniform","1","1","1","NA","0","0","0","0","0","4","4","4","4","4","0","0","5","0","4","4","0","0","NA","0","4","0","4","NA","0","4","4","12/06/16 16:11:46","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","564","564","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","121458","120886","121423","122025","123014","NA","NA","106533","44037","122262","120921","NA","2399","NA","NA","NA","2399","123464","NA","108953","120883","121458","Stroop CI","8","60029","8","yes","1366","YELLOW"
"24","100","yes","100","23","6737","6737","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","#ffef36","0","con","uniform","1","1","1","NA","0","0","0","0","0","5","5","5","5","5","0","0","5","0","5","5","0","0","NA","0","5","0","5","NA","0","5","5","12/06/16 16:11:46","The main experiment item","yes","m","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","m","m","space","NA","612","612","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","124164","123591","124129","124780","125770","NA","NA","106533","44037","125018","123627","NA","2399","NA","NA","NA","2399","126220","NA","108953","123589","124164","Stroop CI","9","60641","9","yes","1366","YELLOW"
"11","100","yes","100","23","6125","6125","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","#ffef36","0","inc","uniform","1","1","1","NA","0","0","0","0","0","6","6","6","6","6","0","0","5","0","6","6","0","0","NA","0","6","0","6","NA","0","6","6","12/06/16 16:11:46","The main experiment item","yes","m","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","m","m","space","NA","614","614","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","126927","126354","126891","127544","128532","NA","NA","106533","44037","127780","126389","NA","2399","NA","NA","NA","2399","128982","NA","108953","126352","126926","Stroop CI","10","61255","10","yes","1366","BLUE"
"16","100","yes","100","23","5657","5657","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","blue","0","con","uniform","1","1","1","NA","0","0","0","0","0","7","7","7","7","7","0","0","5","0","7","7","0","0","NA","0","7","0","7","NA","0","7","7","12/06/16 16:11:46","The main experiment item","yes","b","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","b","b","space","NA","980","980","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","129692","129119","129656","130675","131663","NA","NA","106533","44037","130911","129154","NA","2399","NA","NA","NA","2399","132114","NA","108953","129116","129691","Stroop CI","11","62235","11","yes","1366","BLUE"
"22","100","yes","100","23","5246","5246","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","#ffef36","0","con","uniform","1","1","1","NA","0","0","0","0","0","8","8","8","8","8","0","0","5","0","8","8","0","0","NA","0","8","0","8","NA","0","8","8","12/06/16 16:11:46","The main experiment item","yes","m","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","m","m","space","NA","718","718","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","132831","132259","132796","133552","134541","NA","NA","106533","44037","133788","132294","NA","2399","NA","NA","NA","2399","134991","NA","108953","132256","132831","Stroop CI","12","62953","12","yes","1366","YELLOW"
"15","100","yes","100","23","4885","4885","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","con","uniform","1","1","1","NA","0","0","0","0","0","9","9","9","9","9","0","0","5","0","9","9","0","0","NA","0","9","0","9","NA","0","9","9","12/06/16 16:11:46","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Female","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-5.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","562","562","2419","NA","2","legacy","1024","2","48000","-16","experiment","5","odd","NA","NA","57491","106533","52208","135699","135127","135664","136264","137256","NA","NA","106533","44037","136502","135162","NA","2399","NA","NA","NA","2399","137706","NA","108953","135125","135699","Stroop CI","13","63515","13","yes","1366","RED"
