"ID","acc","accept_status","accuracy","age","average_response_time","avg_rt","background","bidi","block","buttons","canvas_backend","checkbox_status","clock_backend","color_backend","colour","compensation","congruency","coordinates","correct","correct_answer","correct_button_block","correct_new_keyboard_response","count_C","count_I","count_Instruction","count_Practice_start","count_age","count_answer","count_blank","count_blank2","count_blank3","count_blank_4","count_break","count_break2","count_button_block","count_consent_form","count_correct_feedback","count_cross","count_end","count_experiment","count_feedback","count_gender","count_incorrect_feedback","count_information_sheet","count_logger","count_new_keyboard_response","count_practice","count_stroop","count_target","datetime","description","disable_garbage_collection","expected","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","form_var","fullscreen","gender","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_answer","response_button_block","response_new_keyboard_response","response_time","response_time_answer","response_time_button_block","response_time_new_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_C","time_I","time_Instruction","time_Practice_start","time_age","time_answer","time_blank","time_blank2","time_blank3","time_blank_4","time_break","time_break2","time_button_block","time_consent_form","time_correct_feedback","time_cross","time_end","time_experiment","time_feedback","time_gender","time_incorrect_feedback","time_information_sheet","time_logger","time_new_keyboard_response","time_practice","time_stroop","time_target","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word"
"31","75","yes","75","25","17743","17743","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","green","0","neutral","uniform","0","0","1","NA","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","12/06/16 18:00:44","The main experiment item","yes","n","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","None","None","space","NA","2000","2000","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","663207","662635","663172","665210","666202","NA","NA","660528","583178","NA","662670","NA","2323","NA","NA","665448","577856","666652","NA","662532","662633","663207","Stroop IC","3","70975","4","yes","1366","LOT"
"30","80","yes","80","25","14391","14391","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","blue","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","1","1","1","1","1","0","0","5","0","1","1","0","0","NA","0","1","0","1","NA","0","1","1","12/06/16 18:00:44","The main experiment item","yes","b","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","b","b","space","NA","982","982","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","667431","666859","667396","668416","669406","NA","NA","660528","583178","668654","666894","NA","2323","NA","NA","665448","577856","669856","NA","662532","666857","667431","Stroop IC","4","71957","5","yes","1366","FLOWER"
"4","83.3333333333","yes","83.3333333333","25","12134","12134","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","blue","0","inc","uniform","1","1","1","NA","0","0","0","0","0","2","2","2","2","2","0","0","5","0","2","2","0","0","NA","0","2","0","2","NA","0","2","2","12/06/16 18:00:44","The main experiment item","yes","b","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","b","b","space","NA","847","847","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","670572","670000","670537","671422","672413","NA","NA","660528","583178","671659","670035","NA","2323","NA","NA","665448","577856","672863","NA","662532","669998","670572","Stroop IC","5","72804","6","yes","1366","RED"
"15","85.7142857143","yes","85.7142857143","25","10528","10528","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","con","uniform","1","1","1","NA","0","0","0","0","0","3","3","3","3","3","0","0","5","0","3","3","0","0","NA","0","3","0","3","NA","0","3","3","12/06/16 18:00:44","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","893","893","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","673571","672998","673536","674467","675457","NA","NA","660528","583178","674704","673034","NA","2323","NA","NA","665448","577856","675907","NA","662532","672996","673571","Stroop IC","6","73697","7","yes","1366","RED"
"14","87.5","yes","87.5","25","9304","9304","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","con","uniform","1","1","1","NA","0","0","0","0","0","4","4","4","4","4","0","0","5","0","4","4","0","0","NA","0","4","0","4","NA","0","4","4","12/06/16 18:00:44","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","735","735","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","676617","676045","676582","677355","678343","NA","NA","660528","583178","677591","676080","NA","2323","NA","NA","665448","577856","678793","NA","662532","676043","676617","Stroop IC","7","74432","8","yes","1366","RED"
"25","88.8888888889","yes","88.8888888889","25","8343","8343","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","5","5","5","5","5","0","0","5","0","5","5","0","0","NA","0","5","0","5","NA","0","5","5","12/06/16 18:00:44","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","662","662","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","679509","678934","679474","680174","681162","NA","NA","660528","583178","680410","678970","NA","2323","NA","NA","665448","577856","681612","NA","662532","678932","679509","Stroop IC","8","75094","9","yes","1366","SHIP"
"7","80","yes","80","25","7709","7709","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","green","0","inc","uniform","0","0","1","NA","0","0","0","0","0","6","6","6","6","6","0","0","5","0","6","6","0","0","NA","0","6","0","6","NA","0","6","6","12/06/16 18:00:44","The main experiment item","yes","n","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","None","None","space","NA","2000","2000","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","682311","681739","682276","684313","685301","NA","NA","660528","583178","680410","681774","NA","2323","NA","NA","684549","577856","685751","NA","662532","681737","682311","Stroop IC","8","77094","10","yes","1366","RED"
"1","81.8181818182","yes","81.8181818182","25","7131","7131","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","inc","uniform","1","1","1","NA","0","0","0","0","0","7","7","7","7","7","0","0","5","0","7","7","0","0","NA","0","7","0","7","NA","0","7","7","12/06/16 18:00:44","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","1349","1349","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","686459","685887","686424","687811","688799","NA","NA","660528","583178","688047","685922","NA","2323","NA","NA","684549","577856","689249","NA","662532","685884","686459","Stroop IC","9","78443","11","yes","1366","BLUE"
"26","83.3333333333","yes","83.3333333333","25","6605","6605","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","red","0","neutral","uniform","1","1","1","NA","0","0","0","0","0","8","8","8","8","8","0","0","5","0","8","8","0","0","NA","0","8","0","8","NA","0","8","8","12/06/16 18:00:44","The main experiment item","yes","v","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","v","v","space","NA","819","819","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","689959","689387","689924","690780","691768","NA","NA","660528","583178","691016","689422","NA","2323","NA","NA","684549","577856","692218","NA","662532","689385","689959","Stroop IC","10","79262","12","yes","1366","KNIFE"
"22","84.6153846154","yes","84.6153846154","25","6148","6148","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","#ffef36","0","con","uniform","1","1","1","NA","0","0","0","0","0","9","9","9","9","9","0","0","5","0","9","9","0","0","NA","0","9","0","9","NA","0","9","9","12/06/16 18:00:44","The main experiment item","yes","m","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","m","m","space","NA","663","663","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","692929","692357","692894","693596","694586","NA","NA","660528","583178","693834","692392","NA","2323","NA","NA","684549","577856","695036","NA","662532","692355","692929","Stroop IC","11","79925","13","yes","1366","YELLOW"
"21","85.7142857143","yes","85.7142857143","25","5745","5745","#ffffff","no","practice","v;b;n;m","legacy","I have read and understood the information shown above","legacy","legacy","green","0","con","uniform","1","1","1","NA","0","0","0","0","0","10","10","10","10","10","0","0","5","0","10","10","0","0","NA","0","10","0","10","NA","0","10","10","12/06/16 18:00:44","The main experiment item","yes","n","W:\Sussex\Consciousness and control\Exp 1 - stroop suggestion and PCE\Methods\Palfi_script","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","legacy","C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-6.csv","legacy","Interactive Ising","3.0.2","0","n","n","space","NA","516","516","2003","NA","2","legacy","1024","2","48000","-16","experiment","6","even","NA","NA","606675","660528","601392","695740","695168","695705","696258","697247","NA","NA","660528","583178","696495","695203","NA","2323","NA","NA","684549","577856","697697","NA","662532","695166","695740","Stroop IC","12","80441","14","yes","1366","GREEN"
