ID,acc,accept_status,accuracy,age,average_response_time,avg_rt,background,bidi,block,buttons,canvas_backend,checkbox_status,clock_backend,color_backend,colour,compensation,congruency,coordinates,correct,correct_answer,correct_button_block,correct_new_keyboard_response,count_C,count_I,count_Instruction,count_Practice_start,count_age,count_answer,count_blank,count_blank2,count_blank3,count_blank_4,count_break,count_break2,count_button_block,count_consent_form,count_correct_feedback,count_cross,count_end,count_experiment,count_feedback,count_gender,count_incorrect_feedback,count_information_sheet,count_logger,count_new_keyboard_response,count_practice,count_stroop,count_target,datetime,description,disable_garbage_collection,expected,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,form_var,fullscreen,gender,height,keyboard_backend,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_answer,response_button_block,response_new_keyboard_response,response_time,response_time_answer,response_time_button_block,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_C,time_I,time_Instruction,time_Practice_start,time_age,time_answer,time_blank,time_blank2,time_blank3,time_blank_4,time_break,time_break2,time_button_block,time_consent_form,time_correct_feedback,time_cross,time_end,time_experiment,time_feedback,time_gender,time_incorrect_feedback,time_information_sheet,time_logger,time_new_keyboard_response,time_practice,time_stroop,time_target,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
26,100,yes,100,20,6987,6987,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,red,0,neutral,uniform,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,Thu Dec  8 18:27:41 2016,The main experiment item,yes,v,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,v,v,space,NA,612,612,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,104792,104191,104748,105416,106430,NA,NA,101675,66167,105667,104235,NA,47918,NA,NA,NA,47920,106881,NA,104120,104180,104792,Stroop CI,4,27949,4,yes,1280,KNIFE
24,100,yes,100,20,5737,5737,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,#ffef36,0,con,uniform,1,1,1,NA,0,0,0,0,0,1,1,1,1,1,0,0,5,0,1,1,0,0,NA,0,1,0,1,NA,0,1,1,Thu Dec  8 18:27:41 2016,The main experiment item,yes,m,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,m,m,space,NA,736,736,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,107557,106956,107512,108305,109316,NA,NA,101675,66167,108553,107000,NA,47918,NA,NA,NA,47920,109766,NA,104120,106945,107557,Stroop CI,5,28685,5,yes,1280,YELLOW
17,100,yes,100,20,4885,4885,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,blue,0,con,uniform,1,1,1,NA,0,0,0,0,0,2,2,2,2,2,0,0,5,0,2,2,0,0,NA,0,2,0,2,NA,0,2,2,Thu Dec  8 18:27:41 2016,The main experiment item,yes,b,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,b,b,space,NA,627,627,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,110441,109837,110395,111080,112096,NA,NA,101675,66167,111331,109883,NA,47918,NA,NA,NA,47920,112546,NA,104120,109823,110441,Stroop CI,6,29312,6,yes,1280,BLUE
11,100,yes,100,20,4264,4264,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,#ffef36,0,inc,uniform,1,1,1,NA,0,0,0,0,0,3,3,3,3,3,0,0,5,0,3,3,0,0,NA,0,3,0,3,NA,0,3,3,Thu Dec  8 18:27:41 2016,The main experiment item,yes,m,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,m,m,space,NA,540,540,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,113224,112621,113178,113777,114791,NA,NA,101675,66167,114025,112665,NA,47918,NA,NA,NA,47920,115241,NA,104120,112610,113224,Stroop CI,7,29852,7,yes,1280,BLUE
33,100,yes,100,20,3781,3781,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,green,0,neutral,uniform,1,1,1,NA,0,0,0,0,0,4,4,4,4,4,0,0,5,0,4,4,0,0,NA,0,4,0,4,NA,0,4,4,Thu Dec  8 18:27:41 2016,The main experiment item,yes,n,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,n,n,space,NA,401,401,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,115908,115306,115864,116322,117336,NA,NA,101675,66167,116573,115352,NA,47918,NA,NA,NA,47920,117786,NA,104120,115295,115908,Stroop CI,8,30253,8,yes,1280,FLOWER
36,88.88888889,yes,88.88888889,20,3449,3449,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,#ffef36,0,neutral,uniform,0,0,1,NA,0,0,0,0,0,5,5,5,5,5,0,0,5,0,5,5,0,0,NA,0,5,0,5,NA,0,5,5,Thu Dec  8 18:27:41 2016,The main experiment item,yes,m,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,n,n,space,NA,794,794,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,118461,117857,118417,119267,120284,NA,NA,101675,66167,116573,117903,NA,47918,NA,NA,119518,47920,120734,NA,104120,117846,118461,Stroop CI,8,31047,9,yes,1280,KNIFE
2,90,yes,90,20,3152,3152,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,red,0,inc,uniform,1,1,1,NA,0,0,0,0,0,6,6,6,6,6,0,0,5,0,6,6,0,0,NA,0,6,0,6,NA,0,6,6,Thu Dec  8 18:27:41 2016,The main experiment item,yes,v,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,v,v,space,NA,477,477,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,121401,120801,121357,121891,122909,NA,NA,101675,66167,122142,120845,NA,47918,NA,NA,119518,47920,123359,NA,104120,120789,121401,Stroop CI,9,31524,10,yes,1280,GREEN
21,81.81818182,yes,81.81818182,20,2931,2931,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,green,0,con,uniform,0,0,1,NA,0,0,0,0,0,7,7,7,7,7,0,0,5,0,7,7,0,0,NA,0,7,0,7,NA,0,7,7,Thu Dec  8 18:27:41 2016,The main experiment item,yes,n,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,m,m,space,NA,720,720,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,124036,123431,123987,124768,125778,NA,NA,101675,66167,122142,123475,NA,47918,NA,NA,125014,47920,126228,NA,104120,123420,124036,Stroop CI,9,32244,11,yes,1280,GREEN
1,83.33333333,yes,83.33333333,20,2754,2754,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,red,0,inc,uniform,1,1,1,NA,0,0,0,0,0,8,8,8,8,8,0,0,5,0,8,8,0,0,NA,0,8,0,8,NA,0,8,8,Thu Dec  8 18:27:41 2016,The main experiment item,yes,v,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,v,v,space,NA,804,804,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,126906,126304,126862,127722,128731,NA,NA,101675,66167,127967,126350,NA,47918,NA,NA,125014,47920,129181,NA,104120,126293,126906,Stroop CI,10,33048,12,yes,1280,BLUE
7,84.61538462,yes,84.61538462,20,2626,2626,#ffffff,no,practice,v;b;n;m,legacy,I have read and understood the information shown above,legacy,legacy,green,0,inc,uniform,1,1,1,NA,0,0,0,0,0,9,9,9,9,9,0,0,5,0,9,9,0,0,NA,0,9,0,9,NA,0,9,9,Thu Dec  8 18:27:41 2016,The main experiment item,yes,n,IC_RSI2000.osexp,/Users/Muki/Documents/Labor/Bence Stroop,no,mono,no,18,no,black,no,Ok,NA,no,Male,800,legacy,C:/Users/User/Dropbox/Sussex/Consciousness and control/Exp 1 - stroop suggestion and PCE/Methods/Palfi_script/laptop_size/subject-14_CI.csv,legacy,Interactive Ising,3.0.7,0,n,n,space,NA,1101,1101,2444,NA,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,96886,101675,92399,129870,129264,129821,130982,131990,NA,NA,101675,66167,131228,129308,NA,47918,NA,NA,125014,47920,132440,NA,104120,129253,129870,Stroop CI,11,34149,13,yes,1280,RED
