acc,congruency,response_time,subject_nr
75,neutral,1988,0
80,neutral,1060,0
83.33333333,neutral,890,0
85.71428571,inc,692,0
87.5,neutral,1155,0
88.88888889,inc,581,0
90,inc,586,0
90.90909091,con,723,0
91.66666667,inc,669,0
92.30769231,neutral,631,0
92.85714286,con,420,0
93.33333333,neutral,546,0
93.75,con,337,0
88.23529412,inc,724,0
88.88888889,con,586,0
89.47368421,inc,633,0
90,con,475,0
90.47619048,neutral,706,0
90.90909091,con,610,0
91.30434783,inc,540,0
91.66666667,neutral,711,0
92,con,959,0
92.30769231,inc,847,0
92.59259259,con,631,0
92.85714286,inc,643,0
93.10344828,con,368,0
93.33333333,neutral,358,0
90.32258065,neutral,503,0
90.625,con,537,0
90.90909091,inc,720,0
91.17647059,inc,562,0
91.42857143,con,633,0
91.66666667,neutral,659,0
91.89189189,neutral,529,0
92.10526316,con,608,0
92.30769231,inc,442,0
92.68292683,con,672,0
92.85714286,con,509,0
93.02325581,con,521,0
93.18181818,con,528,0
93.33333333,neutral,338,0
91.30434783,con,470,0
89.36170213,con,612,0
89.58333333,neutral,538,0
89.79591837,con,519,0
90,con,561,0
90.19607843,con,606,0
90.38461538,con,557,0
90.56603774,con,661,0
90.74074074,con,479,0
89.09090909,con,649,0
89.28571429,neutral,626,0
89.47368421,con,590,0
89.65517241,inc,388,0
89.83050847,inc,677,0
90,con,593,0
90.16393443,con,662,0
90.32258065,con,582,0
90.47619048,con,526,0
90.625,con,505,0
90.76923077,neutral,566,0
90.90909091,con,525,0
91.04477612,inc,668,0
91.17647059,con,495,0
91.30434783,con,684,0
91.42857143,con,594,0
91.54929577,con,651,0
91.66666667,con,585,0
91.78082192,con,588,0
91.89189189,con,683,0
92,con,573,0
92.10526316,con,490,0
92.20779221,con,538,0
92.30769231,con,536,0
92.40506329,con,437,0
92.5,neutral,671,0
92.59259259,con,557,0
92.68292683,con,502,0
92.77108434,con,538,0
92.85714286,con,594,0
92.94117647,con,801,0
93.02325581,con,600,0
93.10344828,con,588,0
93.18181818,con,1335,0
93.25842697,con,538,0
93.33333333,con,533,0
93.40659341,con,644,0
93.47826087,con,524,0
93.5483871,neutral,568,0
93.61702128,con,654,0
93.68421053,con,566,0
93.75,con,537,0
93.81443299,con,350,0
93.87755102,con,532,0
93.93939394,con,440,0
94,con,490,0
94.05940594,con,555,0
93.1372549,con,455,0
93.2038835,con,725,0
93.26923077,con,575,0
93.33333333,inc,1442,0
93.39622642,con,698,0
93.45794393,con,575,0
93.51851852,con,522,0
93.57798165,neutral,889,0
93.63636364,con,581,0
93.69369369,con,522,0
93.75,con,561,0
93.80530973,con,688,0
93.85964912,con,493,0
93.91304348,con,525,0
93.96551724,inc,549,0
94.01709402,con,625,0
93.22033898,con,590,0
93.27731092,inc,455,0
93.33333333,con,600,0
93.38842975,inc,782,0
93.44262295,inc,503,0
93.49593496,con,789,0
93.5483871,neutral,581,0
93.6,con,635,0
93.65079365,con,820,0
93.7007874,con,670,0
93.75,neutral,538,0
93.02325581,con,663,0
93.07692308,neutral,734,0
93.12977099,con,700,0
93.18181818,con,740,0
92.48120301,inc,820,0
91.79104478,con,785,0
91.85185185,con,643,0
91.91176471,con,648,0
91.97080292,con,617,0
92.02898551,con,630,0
92.08633094,con,611,0
92.14285714,inc,801,0
92.19858156,neutral,672,0
92.25352113,con,81,0
92.30769231,inc,1021,0
92.36111111,con,643,0
92.4137931,con,520,0
92.46575342,con,716,0
92.5170068,con,658,0
92.56756757,con,833,0
92.61744966,con,487,0
92.66666667,con,525,0
92.71523179,con,649,0
92.76315789,con,578,0
92.81045752,con,639,0
92.85714286,con,1103,0
92.90322581,neutral,836,0
92.94871795,con,647,0
92.99363057,con,972,0
93.03797468,con,822,0
93.08176101,con,702,0
92.5,inc,897,0
92.59259259,inc,842,0
92.63803681,inc,658,0
92.07317073,con,513,0
92.12121212,inc,788,0
92.1686747,neutral,518,0
92.21556886,inc,534,0
92.26190476,inc,521,0
92.30769231,inc,831,0
92.35294118,inc,708,0
92.39766082,inc,738,0
92.44186047,inc,693,0
92.48554913,inc,574,0
92.52873563,inc,579,0
92.57142857,inc,993,0
92.61363636,inc,700,0
92.65536723,inc,525,0
92.69662921,inc,636,0
92.73743017,inc,665,0
92.22222222,inc,1047,0
92.26519337,inc,633,0
92.30769231,con,595,0
92.34972678,inc,462,0
92.39130435,inc,553,0
92.43243243,neutral,558,0
92.47311828,inc,505,0
92.51336898,inc,691,0
92.55319149,inc,870,0
92.59259259,inc,582,0
92.63157895,inc,586,0
92.67015707,inc,655,0
92.70833333,inc,639,0
92.74611399,inc,644,0
92.26804124,inc,499,0
92.30769231,inc,1296,0
92.34693878,inc,455,0
92.3857868,inc,533,0
92.42424242,inc,759,0
92.46231156,inc,594,0
92.5,inc,741,0
92.53731343,inc,582,0
92.57425743,inc,710,0
92.1182266,inc,476,0
92.15686275,inc,839,0
92.19512195,inc,731,0
92.23300971,inc,649,0
92.2705314,inc,686,0
92.30769231,inc,559,0
92.34449761,inc,845,0
92.38095238,con,550,0
92.41706161,neutral,617,0
92.45283019,inc,562,0
92.48826291,con,708,0
92.52336449,inc,874,0
92.55813953,con,602,0
92.59259259,inc,1582,0
92.62672811,inc,624,0
92.66055046,inc,557,0
92.23744292,inc,529,0
92.27272727,inc,635,0
92.30769231,inc,459,0
92.34234234,inc,604,0
92.37668161,neutral,553,0
92.41071429,inc,691,0
92.44444444,inc,479,0
92.47787611,con,546,0
92.51101322,con,505,0
92.54385965,neutral,466,0
92.57641921,inc,593,0
92.60869565,inc,714,0
92.64069264,neutral,523,0
92.67241379,inc,1224,0
92.70386266,inc,497,0
92.73504274,neutral,581,0
92.76595745,neutral,386,0
92.79661017,inc,839,0
92.82700422,inc,432,0
92.85714286,inc,789,0
92.88702929,inc,510,0
92.5,inc,669,0
92.11618257,inc,568,0
92.14876033,inc,802,0
92.18106996,inc,533,0
92.21311475,inc,477,0
92.24489796,inc,1071,0
92.27642276,con,819,0
92.30769231,con,785,0
92.33870968,con,521,0
92.36947791,inc,955,0
92.4,inc,720,0
92.43027888,con,455,0
92.46031746,inc,462,0
92.49011858,inc,473,0
92.51968504,con,508,0
92.54901961,inc,656,0
92.1875,inc,688,0
92.21789883,inc,1099,0
92.24806202,inc,535,0
92.27799228,inc,917,0
92.30769231,inc,613,0
92.33716475,inc,506,0
92.36641221,neutral,1098,0
92.39543726,inc,670,0
92.42424242,inc,660,0
92.45283019,inc,1034,0
92.48120301,inc,590,0
92.5093633,inc,592,0
92.53731343,inc,546,0
92.56505576,inc,780,0
92.59259259,inc,659,0
92.6199262,neutral,516,0
92.64705882,inc,547,0
92.67399267,inc,650,0
92.70072993,neutral,950,0
92.72727273,inc,701,0
92.75362319,inc,635,0
92.77978339,inc,809,0
92.8057554,inc,748,0
92.83154122,inc,456,0
92.85714286,neutral,801,0
92.88256228,inc,448,0
100,con,625,0
100,neutral,1109,0
100,inc,1414,0
85.7142857143,inc,642,0
87.5,neutral,666,0
88.8888888889,neutral,786,0
90,con,1449,0
90.9090909091,inc,904,0
91.6666666667,neutral,779,0
92.3076923077,inc,1065,0
92.8571428571,inc,992,0
93.3333333333,con,892,0
93.75,con,920,0
94.1176470588,con,626,0
94.4444444444,neutral,623,0
94.7368421053,con,791,0
95,neutral,583,0
95.2380952381,neutral,737,0
95.4545454545,inc,600,0
95.652173913,con,541,0
95.8333333333,con,553,0
96,inc,571,0
96.1538461538,inc,496,0
96.2962962963,inc,837,0
96.4285714286,neutral,674,0
96.5517241379,inc,667,0
96.6666666667,neutral,674,0
96.7741935484,neutral,793,0
96.875,neutral,994,0
96.9696969697,con,449,0
97.0588235294,con,474,0
94.2857142857,inc,843,0
94.4444444444,inc,1122,0
94.5945945946,con,1095,0
94.7368421053,con,743,0
94.8717948718,neutral,661,0
95.1219512195,con,709,0
95.2380952381,con,665,0
95.3488372093,con,640,0
95.4545454545,con,676,0
95.5555555556,con,788,0
95.652173913,con,487,0
95.7446808511,con,634,0
95.8333333333,con,538,0
95.9183673469,con,745,0
96,neutral,697,0
96.0784313725,con,619,0
96.1538461538,inc,1311,0
96.2264150943,neutral,627,0
96.2962962963,con,589,0
96.3636363636,con,627,0
96.4285714286,con,740,0
96.4912280702,con,551,0
96.5517241379,con,668,0
96.6101694915,con,545,0
96.6666666667,con,571,0
96.7213114754,con,456,0
96.7741935484,con,527,0
96.8253968254,inc,723,0
96.875,con,720,0
96.9230769231,con,993,0
96.9696969697,con,768,0
97.0149253731,con,542,0
97.0588235294,con,635,0
97.1014492754,con,521,0
95.7142857143,con,761,0
95.7746478873,con,1498,0
95.8333333333,con,582,0
95.8904109589,con,786,0
95.9459459459,con,617,0
96,neutral,673,0
96.0526315789,inc,701,0
96.1038961039,con,660,0
96.1538461538,con,918,0
96.2025316456,con,520,0
96.25,con,602,0
96.2962962963,con,511,0
96.3414634146,con,614,0
96.3855421687,inc,789,0
96.4285714286,con,444,0
96.4705882353,con,689,0
96.511627907,con,887,0
96.5517241379,con,755,0
96.5909090909,con,633,0
96.6292134831,con,508,0
95.5555555556,inc,851,0
95.6043956044,inc,1209,0
95.652173913,con,647,0
95.6989247312,con,1270,0
95.7446808511,con,597,0
95.7894736842,con,455,0
95.8333333333,con,976,0
95.8762886598,con,576,0
95.9183673469,con,602,0
95.9595959596,con,923,0
96,con,544,0
96.0396039604,con,643,0
96.0784313725,neutral,927,0
96.1165048544,con,486,0
96.1538461538,neutral,656,0
96.1904761905,con,431,0
96.2264150943,con,698,0
96.261682243,con,545,0
96.2962962963,con,558,0
96.3302752294,con,538,0
96.3636363636,neutral,600,0
96.3963963964,neutral,711,0
96.4285714286,con,563,0
96.4601769912,inc,494,0
96.4912280702,con,468,0
96.5217391304,con,1503,0
96.5517241379,con,507,0
96.5811965812,con,591,0
96.6101694915,con,799,0
96.6386554622,con,745,0
96.6666666667,con,668,0
96.694214876,con,719,0
96.7213114754,con,521,0
96.7479674797,neutral,796,0
96.7741935484,con,656,0
96.8,con,782,0
96.8253968254,con,607,0
96.8503937008,con,566,0
96.875,inc,1002,0
96.1240310078,inc,1182,0
96.1538461538,inc,435,0
96.1832061069,con,650,0
96.2121212121,con,639,0
96.2406015038,con,712,0
96.2686567164,con,669,0
96.2962962963,con,612,0
96.3235294118,con,439,0
96.3503649635,con,511,0
96.3768115942,con,773,0
96.4028776978,con,699,0
96.4285714286,con,659,0
96.4539007092,inc,1301,0
96.4788732394,con,701,0
96.5034965035,neutral,892,0
96.5277777778,con,518,0
96.5517241379,con,716,0
96.5753424658,con,569,0
96.5986394558,con,551,0
96.6216216216,neutral,743,0
96.644295302,con,710,0
96.6666666667,neutral,841,0
96.6887417219,neutral,758,0
96.7105263158,con,482,0
96.7320261438,con,685,0
96.7532467532,con,608,0
96.7741935484,inc,668,0
96.7948717949,con,694,0
96.8152866242,con,613,0
96.835443038,con,618,0
96.8553459119,con,1069,0
96.875,con,564,0
96.9135802469,inc,1829,0
96.9325153374,con,501,0
96.9512195122,neutral,1017,0
96.9696969697,con,767,0
96.9879518072,inc,516,0
97.005988024,inc,800,0
97.0238095238,con,784,0
97.0414201183,inc,813,0
97.0588235294,inc,582,0
97.0760233918,neutral,517,0
97.0930232558,inc,659,0
97.1098265896,neutral,677,0
97.1264367816,inc,625,0
96.5714285714,inc,701,0
96.5909090909,neutral,597,0
96.6101694915,inc,519,0
96.6292134831,inc,871,0
96.6480446927,inc,584,0
96.6666666667,inc,665,0
96.6850828729,inc,1256,0
96.7032967033,neutral,559,0
96.7213114754,inc,529,0
96.7391304348,inc,706,0
96.7567567568,inc,619,0
96.7741935484,neutral,600,0
96.7914438503,inc,669,0
96.8085106383,inc,969,0
96.8253968254,inc,539,0
96.8421052632,inc,674,0
96.8586387435,inc,791,0
96.875,inc,530,0
96.8911917098,inc,1098,0
96.9072164948,inc,677,0
96.9230769231,inc,688,0
96.9387755102,con,713,0
96.9543147208,inc,828,0
96.9696969697,inc,734,0
96.9849246231,inc,727,0
97,inc,671,0
97.0149253731,inc,655,0
97.0297029703,inc,951,0
97.0443349754,inc,760,0
97.0588235294,inc,527,0
97.0731707317,inc,693,0
97.0873786408,inc,648,0
97.1014492754,neutral,628,0
97.1153846154,inc,673,0
97.1291866029,inc,904,0
97.1428571429,inc,872,0
97.1563981043,inc,537,0
97.1698113208,inc,835,0
97.1830985915,neutral,603,0
97.1962616822,inc,602,0
97.2093023256,inc,707,0
97.2222222222,neutral,818,0
97.2350230415,inc,657,0
97.247706422,con,649,0
97.2602739726,con,572,0
97.2727272727,inc,693,0
97.2850678733,inc,504,0
97.2972972973,inc,520,0
97.3094170404,con,711,0
97.3214285714,inc,430,0
97.3333333333,inc,773,0
97.3451327434,inc,792,0
97.3568281938,inc,990,0
97.3684210526,inc,573,0
97.3799126638,inc,810,0
97.3913043478,inc,596,0
97.4025974026,inc,522,0
97.4137931034,inc,960,0
97.4248927039,inc,568,0
97.4358974359,inc,594,0
97.4468085106,inc,696,0
97.4576271186,inc,911,0
97.4683544304,inc,675,0
97.4789915966,inc,657,0
97.489539749,neutral,764,0
97.5,inc,623,0
97.510373444,inc,615,0
97.520661157,inc,620,0
97.5308641975,inc,831,0
97.5409836066,inc,493,0
97.5510204082,inc,474,0
97.5609756098,inc,550,0
97.5708502024,inc,584,0
97.5806451613,inc,659,0
97.5903614458,inc,703,0
97.6,inc,439,0
97.609561753,inc,606,0
97.619047619,inc,590,0
97.628458498,inc,948,0
97.6377952756,inc,741,0
97.6470588235,inc,473,0
97.65625,neutral,816,0
97.6653696498,inc,600,0
97.6744186047,inc,463,0
97.6833976834,inc,576,0
97.6923076923,inc,640,0
97.7011494253,con,601,0
97.7099236641,inc,745,0
97.7186311787,con,629,0
97.7272727273,inc,532,0
97.7358490566,con,709,0
97.7443609023,inc,1978,0
97.7528089888,con,523,0
97.7611940299,inc,676,0
97.3977695167,inc,2000,0
97.4074074074,inc,690,0
97.4169741697,inc,458,0
97.4264705882,inc,690,0
97.4358974359,inc,1055,0
97.4452554745,inc,1061,0
97.4545454545,inc,490,0
97.4637681159,inc,399,0
97.4729241877,inc,582,0
97.4820143885,inc,719,0
97.4910394265,con,607,0
97.5,neutral,494,0
97.5088967972,inc,490,0
100,neutral,804,11
100,neutral,591,11
100,inc,412,11
100,inc,933,11
100,con,1301,11
100,neutral,561,11
100,con,589,11
100,con,618,11
100,con,597,11
100,neutral,534,11
100,inc,638,11
100,con,664,11
100,neutral,584,11
100,inc,414,11
100,inc,768,11
100,inc,844,11
95,inc,576,11
95.2380952381,neutral,891,11
95.4545454545,con,564,11
95.652173913,neutral,649,11
95.8333333333,inc,396,11
96,inc,1026,11
96.1538461538,con,556,11
96.2962962963,con,608,11
96.4285714286,neutral,550,11
96.5517241379,neutral,466,11
93.3333333333,inc,910,11
93.5483870968,con,606,11
90.625,inc,780,11
90.9090909091,con,768,11
91.1764705882,neutral,702,11
88.5714285714,neutral,553,11
88.8888888889,con,521,11
89.1891891892,neutral,866,11
89.4736842105,inc,613,11
89.7435897436,con,450,11
90.243902439,con,1004,11
90.4761904762,neutral,446,11
88.3720930233,con,545,11
88.6363636364,neutral,457,11
88.8888888889,con,577,11
89.1304347826,con,599,11
89.3617021277,con,432,11
89.5833333333,con,684,11
89.7959183673,con,410,11
88,inc,514,11
88.2352941176,con,565,11
88.4615384615,con,554,11
88.679245283,con,439,11
88.8888888889,con,568,11
89.0909090909,con,1217,11
89.2857142857,neutral,540,11
89.4736842105,con,767,11
89.6551724138,neutral,575,11
89.8305084746,con,705,11
90,neutral,975,11
90.1639344262,con,716,11
90.3225806452,con,1115,11
90.4761904762,con,571,11
90.625,con,666,11
90.7692307692,con,639,11
90.9090909091,con,587,11
91.0447761194,con,644,11
91.1764705882,con,478,11
91.3043478261,inc,898,11
